name,card_id,rare
青眼の亜白龍,RC02-JP000,Holographic
竜騎士ブラック・マジシャン,RC02-JP001,Ex-Secret
キメラテック・メガフリート・ドラゴン,RC02-JP002,Ex-Secret
シューティング・スター・ドラゴン,RC02-JP003,Ex-Secret
Ｎｏ.６２ 銀河眼の光子竜皇,RC02-JP004,Ex-Secret
オッドアイズ・アークペンデュラム・ドラゴン,RC02-JP005,Ex-Secret
ラーの翼神竜－球体形,RC02-JP006,Ultimate
Ｅ・ＨＥＲＯ オネスティ・ネオス,RC02-JP007,Ultimate
幽鬼うさぎ,RC02-JP008,Ultimate
灰流うらら,RC02-JP009,Ultimate
強欲で貪欲な壺,RC02-JP010,Ultimate
沈黙の魔術師－サイレント・マジシャン,RC02-JP011,Ultra
Ｅ・ＨＥＲＯ ブレイズマン,RC02-JP012,nomal
深夜急行騎士ナイト・エクスプレス・ナイト,RC02-JP013,nomal
無頼特急バトレイン,RC02-JP014,nomal
調弦の魔術師,RC02-JP015,nomal
妖精伝姫－シラユキ,RC02-JP016,Ultra
ジェネクス・ウンディーネ,RC02-JP017,nomal
ユニゾンビ,RC02-JP018,nomal
堕天使イシュタム,RC02-JP019,nomal
海亀壊獣ガメシエル,RC02-JP020,nomal
浮幽さくら,RC02-JP021,Ultra
旧神ヌトス,RC02-JP022,nomal
アルティマヤ・ツィオルキン,RC02-JP023,Ultra
クリスタルウィング・シンクロ・ドラゴン,RC02-JP024,Ultra
ＰＳＹフレームロード・Ω,RC02-JP025,nomal
瑚之龍,RC02-JP026,nomal
ＴＧ ワンダー・マジシャン,RC02-JP027,nomal
たつのこ,RC02-JP028,nomal
Ｎｏ.９９ 希望皇龍ホープドラグーン,RC02-JP029,nomal
Ｎｏ.４２ スターシップ・ギャラクシー・トマホーク,RC02-JP030,nomal
ダイガスタ・エメラル,RC02-JP031,nomal
フレシアの蟲惑魔,RC02-JP032,Ultra
幻影騎士団ブレイクソード,RC02-JP033,nomal
ゴーストリック・デュラハン,RC02-JP034,nomal
ティマイオスの眼,RC02-JP035,Ultra
命削りの宝札,RC02-JP036,nomal
左腕の代償,RC02-JP037,Ultra
ミラクル・コンタクト,RC02-JP038,nomal
ＲＵＭ－七皇の剣,RC02-JP039,nomal
おろかな埋葬,RC02-JP040,nomal
隣の芝刈り,RC02-JP041,nomal
ハーピィの羽根帚,RC02-JP042,Ultra
成金ゴブリン,RC02-JP043,nomal
ツインツイスター,RC02-JP044,nomal
コズミック・サイクロン,RC02-JP045,nomal
オレイカルコスの結界,RC02-JP046,nomal
チキンレース,RC02-JP047,nomal
スキルドレイン,RC02-JP048,nomal
マクロコスモス,RC02-JP049,nomal
神の通告,RC02-JP050,Ultra
